comparison,left_experiment,right_experiment,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,DRIVE,APSRG,precision,20,-0.1258892089616923,-0.0671005572850506,0.13437016636027996
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,DRIVE,APSRG,recall,20,0.5453614314403925,0.5503109952631616,0.07579057380478821
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,DRIVE,APSRG,specificity,20,-0.04107806251969156,-0.0416672328359971,0.008591956029656274
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,DRIVE,CA-APSRG,accuracy,20,0.03229224560911105,0.03217744063153982,0.016903359870198607
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,DRIVE,CA-APSRG,balanced_accuracy,20,0.25230914203096616,0.25898765951515457,0.03583838139143377
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,DRIVE,CA-APSRG,dice,20,0.39971403109039505,0.4143425215346347,0.08246872732542584
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,DRIVE,CA-APSRG,f1_score,20,0.39971403109039505,0.4143425215346347,0.08246872732542584
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,DRIVE,CA-APSRG,iou,20,0.36460960521682273,0.3822768128242493,0.07301955380574565
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,DRIVE,CA-APSRG,precision,20,-0.1259477694654612,-0.0670998605071414,0.1344604009090586
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,DRIVE,CA-APSRG,recall,20,0.5457213714832291,0.5504025823363005,0.07566314089390237
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,DRIVE,CA-APSRG,specificity,20,-0.04110308742129663,-0.04174507241031861,0.00857858160141725
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,STARE,APSRG,accuracy,20,-0.0019938606847697826,-0.0018016528925619002,0.01415618169983033
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,STARE,APSRG,balanced_accuracy,20,0.28684742419322834,0.3027360392390838,0.058943651677934764
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,STARE,APSRG,dice,20,0.33260920693037116,0.3408554848900254,0.11080580768458313
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,STARE,APSRG,f1_score,20,0.33260920693037116,0.3408554848900254,0.11080580768458313
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,STARE,APSRG,iou,20,0.2889803948280689,0.30130362069082406,0.09442274278560354
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,STARE,APSRG,precision,20,-0.2587317346635715,-0.2994905355327278,0.21501851697045726
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,STARE,APSRG,recall,20,0.6289705114296206,0.6566066323786319,0.13104543222603027
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,STARE,APSRG,specificity,20,-0.05527566304316389,-0.05793418115876586,0.016264657872311055
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,STARE,CA-APSRG,accuracy,20,-0.001994332939787474,-0.0017827626918535122,0.014155467999030388
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,STARE,CA-APSRG,balanced_accuracy,20,0.28684716208098565,0.3027321626108059,0.0589440312756517
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,STARE,CA-APSRG,dice,20,0.33261885681535647,0.3409197477312168,0.11081042862590006
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,STARE,CA-APSRG,f1_score,20,0.33261885681535647,0.3409197477312168,0.11081042862590006
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,STARE,CA-APSRG,iou,20,0.2889989419061373,0.30130362069082406,0.0944375357458837
